feature,importance_mean,importance_std
noi_t12,638883.3606679073,50883.370972289515
gross_rent_t12,364542.40527685324,25388.430925133787
opex_t12,121867.65379713332,10433.016783884428
purchase_price,65892.40039790412,7037.2452463419495
gross_leasable_sqft,49896.08614931344,3651.6668956994477
city,4649.739798430959,2982.6626593278297
occupancy_t12,2121.3681499115382,2679.6619966947133
amort_years,1792.1143514541895,848.578407326637
zip,1126.5451304989808,616.788735632818
ltv,514.3713345968878,186.0948094416128
property_type,355.91942578387096,3611.8631466009974
year_built,129.7876033605804,417.9779924352208
deal_id,0.0,0.0
asof_date,0.0,0.0
interest_rate,-322.11464438266995,141.02420067362772
state,-782.6257578980469,487.80347401443555
units,-1240.7297673527632,915.3418893013142
